word_id,word
755,sole
756,soul
757,some
758,sum
759,son
760,sun
761,sort
762,sought
763,spa
764,spar
765,staid
766,stayed
767,stair
768,stare
769,stake
770,steak
771,stalk
772,stork
773,stationary
774,stationery
775,steal
776,steel
777,stile
778,style
779,storey
780,story
781,straight
782,strait
783,sweet
784,suite
785,swat
786,swot
787,tacks
788,tax
789,tale
790,tail
791,talk
792,torque
793,tare
794,tier
795,tear
796,taught
797,taut
798,tort
799,te
800,tea
801,tee
802,team 
803,teem
804,teas
805,tease
806,terce
807,terse
808,tern
809,turn
810,there
811,their
812,they're
813,threw
814,through
815,throes
816,throws
817,throne
818,thrown
819,thyme
820,time
821,tic
822,tick
823,tide
824,tied
825,tire
826,tyre
827,to 
828,too
829,two
830,toad
831,toed
832,towed
833,told
834,tolled
835,tole
836,toll
837,ton
838,tun
839,tor
840,tore
841,tough
842,tuff
843,troop
844,troupe
845,tuba
846,tuber
847,vain
848,vein
849,vane
850,vale
851,veil
852,vial 
853,vile
854,wail
855,wale
856,whale
857,Wales
858,whales
859,wain
860,wane
861,waist
862,waste
863,wait
864,weight
865,waive
866,wave
867,war
868,wore
869,wall 
870,waul
871,ware
872,wear
873,where
874,warn
875,worn
876,wart
877,wort
878,watt
879,what
880,wax
881,whacks
882,way
883,weigh
884,whey
885,we
886,wee
887,whee
888,weak
889,week
890,we'd
891,weed
892,weal
893,we'll
894,wheel
895,wean
896,ween
897,weather
898,whether
899,weaver
900,weever
901,weir
902,we're
903,were
904,whirr
905,wet
906,whet
907,wield
908,wheald
909,wheeled
910,which
911,witch
912,whig
913,wig
914,while
915,wile
916,whine
917,wine
918,whirl
919,whorl
920,whirled
921,world
922,whit
923,wit
924,white
925,wight
926,who's
927,whose
928,woe
929,whoa
930,wood
931,would
932,yaw
933,yore
934,your
935,you're
936,yoke
937,yolk
938,you'll
939,yule
